city,location,price,bedrooms,baths,size
Lahore,DHA Phase 7,80000000,5,6,20
Lahore,DHA Phase 6,79500000,5,6,20
Lahore,DHA Phase 7 - Block S,75000000,5,6,20
Lahore,Central Park - Block C,23500000,3,4,7
Lahore,DHA Phase 7,68500000,5,6,20
Lahore,Park View City - Jade Extension Block,23500000,4,4,5
Lahore,DHA 11 Rahbar Phase 2 - Block G,20500000,3,4,5
Lahore,DHA 9 Town,19200000,3,5,5
Lahore,Askari 10,44000000,3,4,11
Lahore,Park View City,17000000,4,4,5
Lahore,Bahria Town - Sector D,24500000,5,6,8
Lahore,Bahria Town - Sector D,17500000,3,4,5
Lahore,Park View City,11500000,3,4,3.5
Lahore,Park View City,17000000,4,5,5
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City,18000000,4,4,5
Lahore,Park View City,17500000,4,4,5
Lahore,Park View City,21500000,4,4,5
Lahore,Park View City,19000000,4,4,5
Lahore,Park View City,19000000,4,4,5
Lahore,DHA Phase 6 - Block A,85500000,5,6,20
Lahore,DHA Phase 8 - Block U,93800000,6,7,20
Lahore,Bahria Town - Sector E,4800000,1,1,2.3
Lahore,DHA Phase 7 - Block P,66500000,5,6,24
Lahore,DHA Phase 4 - Block GG,66500000,5,6,15
Lahore,Central Park - Block E,15500000,3,4,5
Lahore,Bahria Town - Block CC,17500000,3,4,5
Lahore,DHA Phase 6,485000000,6,6,40
Lahore,DHA Phase 6,130000000,5,6,20
Lahore,Bahria Town - Ghouri Block,33000000,5,6,10
Lahore,DHA Phase 5,79900000,4,5,10
Lahore,DHA Phase 6,139500000,5,6,20
Lahore,DHA Phase 7,89900000,5,6,20
Lahore,DHA Phase 7,145000000,6,6,20
Lahore,DHA Phase 7,109000000,5,6,20
Lahore,Lake City,49500000,5,6,10
Lahore,DHA Phase 6,24000000,4,5,6
Lahore,Park View City - Topaz Extension Block,31500000,5,5,6.7
Lahore,DHA Phase 5 - Block K,127500000,5,6,20
Lahore,Sui Gas Society Phase 2,40000000,6,7,20
Lahore,Bahria Town,41000000,5,5,10
Lahore,Park View City,17500000,4,4,5
Lahore,DHA 11 Rahbar Phase 2,17800000,3,4,5
Lahore,DHA Phase 6,85000000,5,6,20
Lahore,DHA Phase 6,72900000,5,6,20
Lahore,Lahore Motorway City,11000000,4,5,5
Lahore,DHA Phase 7 - Block Z1,64400000,5,6,20
Lahore,Bahria Town - Sector E,16500000,3,4,5
Lahore,Lahore Motorway City - Block S Homes,5760000,2,0,5
Lahore,DHA Phase 6 - Block C,78700000,5,5,20
Lahore,Park View City,16500000,4,5,5
Lahore,Central Park - Block A1,16000000,3,3,5
Lahore,DHA Phase 6,550000000,6,7,40
Lahore,Park View City,21000000,4,4,5
Lahore,DHA Phase 7,65000000,5,6,20
Lahore,DHA Phase 7,68400000,5,5,20
Lahore,Central Park Housing Scheme,24000000,5,7,10
Lahore,Central Park Housing Scheme,38400000,5,7,10
Lahore,Central Park - Block A,38000000,5,6,10
Lahore,Bismillah Housing Scheme,21500000,4,5,5
Lahore,DHA Phase 6,85000000,5,6,20
Lahore,Model Town - Block A,350000000,7,7,60
Lahore,Park View City,19500000,4,4,5
Lahore,Askari 11 - Sector A,41000000,3,3,10
Lahore,Park View City,11500000,3,4,3.5
Lahore,Park View City,17000000,4,5,5
Lahore,Park View City,11000000,3,4,3.5
Lahore,Park View City,11500000,3,4,3.5
Lahore,Bahria Town - Sector C,55000000,5,6,20
Lahore,Bahria Town - Babar Block,7650000,1,1,2.7
Lahore,Bahria Town - Janiper Block,45000000,5,6,10
Lahore,Bahria Town - Talha Block,41000000,5,6,10
Lahore,Bahria Town - Overseas A,51000000,5,6,10
Lahore,Bahria Town - Tauheed Block,47000000,5,6,10
Lahore,Bahria Town - Overseas B,47000000,5,6,10
Lahore,DHA Phase 6,78000000,5,6,20
Lahore,Bahria Town - Johar Block,8800000,1,1,2.4
Lahore,DHA Phase 7,69500000,5,6,20
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City,11500000,3,4,3.5
Lahore,Bismillah Housing Scheme,42500000,6,6,10
Lahore,Bismillah Housing Scheme,14000000,3,4,3.5
Lahore,New Lahore City - Phase 2,16000000,3,4,5
Lahore,DHA Phase 7 - Block S,72500000,6,6,22
Lahore,Park View City,17000000,4,4,5
Lahore,Model Town - Block A,350000000,7,7,60
Lahore,DHA Phase 6 - Block K,390000000,7,7,40
Lahore,Park View City,16000000,4,4,5
Lahore,Park View City,18500000,4,4,5
Lahore,Palm City,21000000,3,4,5.8
Lahore,Defence Raya,60000000,2,2,8.2
Lahore,Al Jalil Garden - Block H,27500000,5,5,10
Lahore,Bahria Town - Overseas B,47000000,5,6,10
Lahore,Park View City,11200000,3,4,3.5
Lahore,Bahria Town - Sector C,35500000,5,7,10
Lahore,Bahria Town - Sector E,32500000,5,7,10
Lahore,Bahria Town - Sector C,32000000,5,7,10
Lahore,Bahria Town - Sector C,32500000,5,7,10
Lahore,Bahria Town - Sector D,19000000,3,4,5
Lahore,Bahria Town - Overseas Enclave,33500000,5,6,10
Lahore,Park View City - Sapphire Block,21000000,4,4,5
Lahore,DHA Phase 6,84900000,5,6,20
Lahore,Johar Town Phase 1,46500000,5,6,12
Lahore,DHA Phase 6,81500000,6,7,20
Lahore,DHA Phase 6 - Block D,79500000,5,6,24
Lahore,Al-Ahmad Garden Housing Scheme,15400000,4,5,5
Lahore,DHA 9 Town,21000000,3,6,5
Lahore,Gulberg,165000000,6,6,40
Lahore,Barki Road,320000000,4,5,320
Lahore,Park View City,17500000,4,4,5
Lahore,DHA Phase 8 - Ex Air Avenue,53000000,4,5,10
Lahore,Bahria Town,18000000,3,4,5
Lahore,Penta Square By DHA Lahore,40000000,3,4,7.6
Lahore,Bahria Town - Sector C,65000000,5,6,20
Lahore,Park View City,16200000,4,4,5
Lahore,Wapda Town Phase 1,115000000,6,7,40
Lahore,Bahria Town - Sector C,120000000,5,6,20
Lahore,Bahria Town - Overseas Enclave,33500000,5,6,10
Lahore,Bahria Town - Sector B,65000000,5,6,20
Lahore,LDA Avenue - Block J,26000000,6,6,10
Lahore,Lake City - Sector M7 - Block B,16500000,3,3,5
Lahore,Park View City - Rose Block,21000000,4,4,5
Lahore,Park View City - Tulip Block,22000000,4,4,5
Lahore,Bahria Town - Sector E,10000000,2,2,3.4
Lahore,Bahria Town - Sector C,4500000,1,1,2.2
Lahore,DHA Phase 6,570000000,7,7,40
Lahore,Bedian Road,107000000,3,4,202
Lahore,Park View City - Jade Extension Block,21500000,4,5,5
Lahore,Bahria Town - Takbeer Block,35000000,5,6,10
Lahore,Al Rehman Garden Phase 2,19500000,6,7,5
Lahore,DHA Phase 6,85000000,4,5,10
Lahore,DHA Phase 1,89000000,5,6,20
Lahore,DHA Phase 6,185000000,6,6,20
Lahore,DHA Phase 6,220000000,6,6,20
Lahore,DHA 9 Town,32600000,3,4,5
Lahore,DHA Phase 6 - Block J,81200000,5,6,20
Lahore,Bahria Town - Iris Block,28500000,5,6,10
Lahore,Bankers Avenue Cooperative Housing Society,47500000,6,6,20
Lahore,New Lahore City,14500000,3,4,5
Lahore,Bahria Nasheman,22500000,5,6,8
Lahore,Defence Raya,95000000,3,4,10
Lahore,Canal Garden - Tip Sector,16500000,4,4,4
Lahore,West Wood Housing Society,65000000,4,4,20
Lahore,DHA Phase 7,65500000,5,6,20
Lahore,DHA Phase 8,72500000,5,6,20
Lahore,Park View City,11000000,3,4,3.5
Lahore,LDA Avenue,45000000,6,6,10
Lahore,LDA Avenue - Block J,35000000,6,6,10
Lahore,Park View City,16500000,4,5,5
Lahore,DHA Phase 5,44500000,5,6,10
Lahore,Bahria Town - Ghaznavi Block,29000000,5,6,10
Lahore,OLC - Block A,12500000,3,3,5
Lahore,Al Rehman Garden Phase 2,12000000,3,4,3
Lahore,DHA 9 Town,20000000,3,4,5
Lahore,DHA Phase 7,45000000,4,5,10
Lahore,Bahria Orchard Phase 4 - Block G5,12500000,3,4,5
Lahore,Central Park Housing Scheme,25500000,5,7,10
Lahore,Central Park Housing Scheme,32500000,5,7,10
Lahore,DHA Phase 6,118000000,5,6,20
Lahore,Al-Ahmad Garden Housing Scheme,16500000,4,6,5
Lahore,Bahria Town - Sector D,17500000,3,4,5
Lahore,DHA Phase 6,230000000,6,6,20
Lahore,Bahria Town - Tulip Block,35000000,5,5,10
Lahore,Park View City,17000000,4,4,5
Lahore,Askari 10,37500000,3,4,11
Lahore,DHA 11 Rahbar,24000000,3,4,5
Lahore,DHA 11 Rahbar,22000000,3,4,5
Lahore,DHA Phase 7 - Block Y,43200000,5,6,10
Lahore,Park View City,16000000,4,5,5
Lahore,DHA 9 Town,20000000,4,6,5
Lahore,DHA 9 Town,18000000,4,6,5
Lahore,LDA Avenue - Block J,41000000,6,6,10
Lahore,Park View City,16000000,4,5,5
Lahore,DHA 11 Rahbar,22000000,3,4,5
Lahore,DHA 9 Town,19500000,3,5,5
Lahore,DHA Phase 6,80000000,6,7,20
Lahore,DHA Phase 7,70000000,5,6,20
Lahore,Wapda Town,120000000,6,6,40
Lahore,DHA Phase 7 - Block S,65500000,5,6,20
Lahore,DHA Phase 6 - Block L,74500000,5,6,20
Lahore,Johar Town Phase 1 - Block F,38000000,6,6,8
Lahore,Bismillah Housing Scheme,20000000,5,6,5.4
Lahore,Bismillah Housing Scheme,42500000,6,6,10.2
Lahore,Wapda Town Phase 1,35000000,5,6,10
Lahore,Park View City,11500000,3,4,3.5
Lahore,DHA Phase 5,370000000,5,6,34
Lahore,DHA Phase 5,220000000,6,6,20
Lahore,DHA 11 Rahbar,23500000,3,4,5
Lahore,Al Raheem Gardens Phase 5,14000000,4,5,5
Lahore,Bahria Town - Rafi Block,49000000,5,6,10
Lahore,Walton Road,17500000,5,6,5
Lahore,Bedian Road,22000000,2,2,60
Lahore,DHA 9 Town - Block A,19500000,3,4,5
Lahore,Park View City,11500000,4,5,3.5
Lahore,Park View City,17000000,4,0,5
Lahore,Park View City,17000000,4,5,5
Lahore,Park View City - Tulip Extension Block,13900000,1,2,5
Lahore,Park View City - Jade Extension Block,18000000,4,4,5
Lahore,Park View City - Platinum Block,16000000,4,4,5
Lahore,Park View City,16500000,4,5,5
Lahore,Lake City - Sector M-2A,53500000,5,6,10
Lahore,DHA Phase 7,66600000,5,6,20
Lahore,DHA Phase 6 - Block G,88300000,5,6,20
Lahore,DHA Phase 6,82500000,5,6,22
Lahore,Park View City - Tulip Extension Block,21000000,4,5,5
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City - Tulip Block,16500000,4,4,5
Lahore,DHA Phase 7 - Block Y,55000000,4,5,10
Lahore,DHA Phase 6,77500000,5,6,20
Lahore,DHA Phase 7 - Block S,66500000,5,6,20
Lahore,DHA Phase 2,107500000,5,6,20
Lahore,Bahria Town - Gulbahar Block,28800000,5,6,10
Lahore,Bedian Road,105000000,2,2,160
Lahore,Bismillah Housing Scheme,9600000,3,4,3
Lahore,Park View City,15500000,4,5,5
Lahore,Al Rehman Garden Phase 2,8800000,2,2,4
Lahore,Bahria Town - Janiper Block,31400000,5,6,10
Lahore,DHA Phase 2 - Block S,67500000,5,6,20
Lahore,Park View City,16000000,4,5,5
Lahore,Park View City,21000000,4,4,5
Lahore,Park View City,15500000,4,5,5
Lahore,Lake City,27000000,4,4,5
Lahore,Lake City - Sector M-3,79000000,6,7,20
Lahore,DHA Phase 5,450000000,10,6,80
Lahore,DHA Phase 7,104000000,5,6,20
Lahore,DHA Phase 6 - Block H,75000000,5,6,20
Lahore,DHA Phase 6 - Block K,570000000,7,7,40
Lahore,DHA Phase 7 - Block Y,56500000,4,5,10
Lahore,DHA Phase 7 - Block Q,87000000,5,6,20
Lahore,DHA Phase 7 - Block R,67500000,5,6,20
Lahore,DHA Phase 6,590000000,7,7,40
Lahore,Bagh Gul Begum,10000000,4,4,2
Lahore,Park View City,16000000,4,4,5
Lahore,Park View City,16000000,4,5,5
Lahore,DHA Phase 5 - Block K,54500000,5,5,10
Lahore,Bahria Town - Sector C,19000000,3,5,5
Lahore,Bahria Town - Sector E,67800000,6,7,20
Lahore,Park View City,11500000,3,4,3.5
Lahore,Park View City,30000000,5,6,10
Lahore,Park View City - Jade Extension Block,20000000,4,5,5
Lahore,Central Park Housing Scheme,21700000,3,4,10
Lahore,Park View City - Diamond Block,18000000,4,4,5
Lahore,DHA Phase 6,114000000,5,6,20
Lahore,State Life Housing Phase 1,46000000,4,5,10
Lahore,DHA Phase 6,117000000,5,6,20
Lahore,DHA Phase 7,110000000,5,6,20
Lahore,Eden Boulevard Housing Scheme,25000000,5,6,5
Lahore,Park View City,21500000,5,4,5
Lahore,Park View City,21000000,4,4,5
Lahore,Park View City,16000000,4,4,5
Lahore,Lake City - Sector M-2A,58000000,6,7,10
Lahore,Valencia - Block L,99000000,5,7,20
Lahore,Lake City - Sector M-2A,54000000,5,7,10
Lahore,Lake City - Sector M7 - Block B,26800000,4,5,5
Lahore,DHA Phase 6,140000000,5,6,20
Lahore,Bahria Town - Sector C,32500000,5,6,10
Lahore,Johar Town,46000000,6,7,14
Lahore,DHA Phase 6,348500000,6,7,40
