area_sqft,floors,rooms,hvac,solar,solar_kw,total
1524.8,1,5,False,False,0,6398631
2374.2,1,5,True,True,3,12308191
1300.6,1,4,True,False,0,6143953
3740.7,1,12,False,True,7,15564603
1810.7,1,7,False,False,0,9119490
1163.2,1,4,False,False,0,5227571
945.8,2,6,False,False,0,8959390
1148.4,2,2,False,False,0,10005291
1689.8,1,4,False,False,0,7154117
1910.4,1,4,False,False,0,8323793
1509.2,2,5,False,False,0,12862598
4644.8,1,13,True,False,0,21153082
1838.3,1,8,False,True,3,9501578
1361.7,1,4,False,False,0,6115684
945.5,1,4,False,False,0,4814464
4986.0,2,16,False,False,0,39153872
1131.1,3,3,False,True,6,15255117
3145.2,1,11,False,False,0,14170736
2249.3,1,6,False,False,0,9532079
2353.9,3,4,True,False,0,29311866
1310.3,2,3,False,False,0,11278384
1223.2,1,4,False,False,0,5262227
2094.8,1,6,False,False,0,9741766
973.6,1,5,False,False,0,4849495
1762.9,2,6,False,False,0,14807310
2600.1,2,8,False,False,0,21039968
1571.9,1,4,False,True,3,7590775
2390.9,1,9,False,True,8,12248226
1578.7,1,3,False,False,0,6457175
1028.8,1,2,False,False,0,4431260
1207.9,1,2,False,True,9,6580820
1916.5,2,6,True,False,0,16749225
1292.3,1,3,True,False,0,6139117
1630.8,2,5,False,True,4,14905283
2537.0,1,8,False,False,0,10881420
1727.0,1,6,True,False,0,8837213
1884.2,2,9,True,False,0,17468758
1111.3,2,3,False,False,0,9553070
1764.6,1,3,False,False,0,7458827
1499.2,2,6,False,False,0,13208639
1437.2,1,7,True,False,0,7437248
1295.5,2,6,False,False,0,12508879
1825.5,1,2,False,False,0,7711904
4703.3,1,14,False,True,8,19634049
1550.4,1,4,False,False,0,6968703
2282.1,1,5,False,False,0,9458580
1109.3,1,2,False,True,7,5535836
1262.0,1,2,False,True,8,6658717
1305.6,1,5,False,False,0,6490084
2115.8,1,8,False,False,0,9286470
1820.9,1,5,False,False,0,8016723
1701.6,1,6,False,False,0,8175474
3012.0,1,10,True,True,4,13602329
1851.8,1,6,False,False,0,8401942
2358.9,1,5,True,False,0,10534227
2051.9,2,8,True,False,0,20226613
3032.2,2,9,False,False,0,26618444
1548.1,2,5,False,False,0,14090880
2896.0,2,9,False,False,0,22373932
1215.7,1,6,False,False,0,5877267
1280.3,2,4,False,False,0,11809948
1287.2,3,3,False,False,0,17112857
1449.5,2,5,True,False,0,12624269
1798.8,1,6,False,False,0,7833191
800,1,2,False,False,0,3312824
1924.8,2,6,False,True,4,17445019
2401.7,1,7,False,False,0,10490806
1451.9,2,5,True,False,0,13369124
1891.5,1,6,False,False,0,8391210
2243.5,1,7,False,False,0,9997561
2199.7,2,6,False,False,0,19518448
2051.2,1,7,False,False,0,9151774
1674.1,3,3,True,False,0,22433263
1688.9,2,6,False,False,0,14594708
3267.3,1,12,False,False,0,14339650
1698.8,2,5,False,True,6,15359659
2430.8,1,7,False,False,0,11662873
1471.2,3,5,False,False,0,19530901
1156.8,2,2,False,False,0,9829812
2231.9,1,8,False,False,0,9835458
800,2,3,False,False,0,7393777
3961.7,1,15,False,False,0,17071759
872.0,1,2,True,False,0,4132307
2819.9,1,6,True,False,0,12427885
1461.0,1,6,False,True,8,7223879
2449.0,1,8,False,False,0,11055603
1605.2,3,4,False,False,0,21517123
2011.2,3,5,False,True,9,27252903
2680.8,1,8,False,False,0,10938992
1907.6,3,7,False,False,0,23677145
2137.1,2,9,False,False,0,17987197
3163.5,1,13,True,False,0,14714928
3149.6,2,8,False,True,3,25141898
2552.8,2,7,False,False,0,20937524
1190.2,1,4,True,False,0,5787683
964.1,2,3,False,False,0,8692358
2521.4,2,10,False,False,0,22658816
1501.3,2,6,False,True,6,14207332
1463.7,1,3,True,False,0,6593809
2607.6,3,8,False,False,0,31657847
4245.0,1,13,False,True,9,18975048
1346.7,2,4,False,True,5,13347741
1811.8,2,5,True,True,6,16736495
2206.9,1,10,False,False,0,10279487
1305.3,1,2,False,False,0,5571048
1055.9,1,2,True,False,0,4862110
1950.5,1,6,True,False,0,9044497
2194.5,2,6,True,False,0,19046403
